"","Doses","E40","c0.1","c11.99","c12.01","c23.99","c24.1","c35.99","c36.1","c47.99","c48.1","c59.99","c60.1","c71.99","c72.1"
"1","2,5,5,0","0","5.611","2.157","2.144","0.964","14.964","4.514","4.482","1.737","15.72","4.153","4.119","1.453","1.442"
"2","2.4,0,0,0","0","6.733","2.588","2.573","1.157","1.15","0.488","0.485","0.203","0.202","0.09","0.089","0.047","0.046"
"3","2.5,3.8,4.3,5","0","7.013","2.696","2.68","1.206","11.842","3.63","3.604","1.403","13.429","3.542","3.513","1.242","15.221"
"4","2.5,0,4.5,0","0","7.013","2.696","2.68","1.206","1.198","0.509","0.505","0.211","12.806","3.236","3.209","1.118","1.11"
"5","2.6,0,0,0","0.002","7.294","2.804","2.787","1.254","1.246","0.529","0.526","0.22","0.218","0.097","0.097","0.051","0.05"
"6","2.7,4.6,3.9,3.3","0.006","7.575","2.912","2.895","1.302","14.179","4.328","4.297","1.671","12.575","3.364","3.337","1.187","10.41"
"7","2.9,0,0,4.6","0.029","8.136","3.127","3.109","1.398","1.39","0.59","0.586","0.245","0.244","0.108","0.108","0.056","12.925"
"8","3.1,5.4,3.4,3.4","0.187","8.697","3.343","3.324","1.495","16.611","5.067","5.031","1.955","11.458","3.123","3.099","1.112","10.616"
"9","3.2,0,4,3.5","0.128","8.977","3.451","3.431","1.543","1.533","0.651","0.647","0.27","11.465","2.913","2.889","1.013","10.797"
"10","3.4,4.4,3.4,4.8","0.272","9.538","3.667","3.645","1.64","13.954","4.306","4.276","1.667","11.172","3.017","2.993","1.073","14.493"
"11","3.5,0,0,5","0.295","9.819","3.774","3.752","1.688","1.677","0.712","0.707","0.296","0.294","0.131","0.13","0.068","14.056"
"12","3.7,4.8,4.5,4.9","0.677","10.38","3.99","3.967","1.784","15.218","4.696","4.663","1.818","14.401","3.843","3.813","1.359","15.056"
"13","3.8,5,4.4,4.1","0.835","10.66","4.098","4.074","1.832","15.826","4.88","4.846","1.889","14.192","3.801","3.771","1.346","12.805"
"14","3.9,4.7,5.3,4.7","0.882","10.941","4.206","4.181","1.881","15.034","4.654","4.621","1.803","16.626","4.398","4.363","1.548","14.685"
"15","4,3.1,4.8,3.8","0.609","11.222","4.314","4.288","1.929","10.6","3.36","3.337","1.31","14.736","3.865","3.834","1.359","11.979"
"16","4.1,3.8,0,4","0.714","11.502","4.421","4.396","1.977","12.609","3.956","3.928","1.538","1.527","0.599","0.595","0.251","11.44"
"17","4.1,3.7,4.1,0","0.703","11.502","4.421","4.396","1.977","12.329","3.874","3.846","1.507","12.972","3.45","3.423","1.222","1.212"
"18","4.2,4.3,4.1,4.8","0.86","11.783","4.529","4.503","2.025","14.057","4.387","4.356","1.703","13.167","3.524","3.496","1.251","14.669"
"19","4.2,4.7,4.4,5.2","0.938","11.783","4.529","4.503","2.025","15.178","4.715","4.682","1.829","14.132","3.78","3.751","1.34","15.877"
"20","4.2,5.1,4.2,3.8","0.977","11.783","4.529","4.503","2.025","16.298","5.044","5.008","1.954","13.696","3.688","3.659","1.31","11.931"
"21","4.3,3.3,4.3,3.4","0.77","12.063","4.637","4.61","2.074","11.304","3.586","3.56","1.398","13.424","3.55","3.522","1.255","10.757"
"22","4.3,0,3.4,0","0.738","12.063","4.637","4.61","2.074","2.061","0.875","0.869","0.363","9.878","2.535","2.514","0.892","0.885"
"23","4.3,4.5,5.5,4.9","0.972","12.063","4.637","4.61","2.074","14.665","4.571","4.539","1.775","17.157","4.529","4.493","1.594","15.29"
"24","4.4,4.1,4.3,4.1","0.907","12.344","4.745","4.717","2.122","13.593","4.263","4.233","1.658","13.682","3.648","3.619","1.293","12.753"
"25","4.4,4.5,5.1,0","0.972","12.344","4.745","4.717","2.122","14.713","4.592","4.559","1.783","16.046","4.253","4.22","1.501","1.49"
"26","4.4,4.3,4.3,3","0.934","12.344","4.745","4.717","2.122","14.153","4.428","4.396","1.72","13.744","3.671","3.642","1.302","9.685"
"27","4.5,4,4.1,5.3","0.922","12.624","4.853","4.825","2.17","13.361","4.201","4.172","1.635","13.099","3.5","3.472","1.243","16.06"
"28","4.5,3.5,3.2,3.6","0.866","12.624","4.853","4.825","2.17","11.96","3.791","3.764","1.478","10.424","2.813","2.791","1.006","11.07"
"29","4.5,4.3,5.3,3.6","0.973","12.624","4.853","4.825","2.17","14.201","4.448","4.416","1.729","16.552","4.373","4.338","1.542","11.601"
"30","4.6,4.4,3.2,3.4","0.974","12.905","4.961","4.932","2.218","14.529","4.55","4.518","1.769","10.713","2.922","2.899","1.049","10.553"
"31","4.6,3.8,0,0","0.925","12.905","4.961","4.932","2.218","12.848","4.058","4.029","1.58","1.569","0.617","0.613","0.261","0.26"
"32","4.7,4.6,4.6,0","0.992","13.185","5.068","5.039","2.267","15.137","4.735","4.702","1.84","14.702","3.927","3.896","1.393","1.382"
"33","4.7,3.7,3.3,4","0.939","13.185","5.068","5.039","2.267","12.616","3.996","3.968","1.558","10.783","2.914","2.891","1.043","12.225"
"34","4.7,5.5,0,5","0.999","13.185","5.068","5.039","2.267","17.658","5.474","5.436","2.122","2.107","0.821","0.815","0.34","14.326"
"35","4.8,4.1,4.7,4.6","0.981","13.466","5.176","5.146","2.315","13.784","4.345","4.314","1.691","14.835","3.942","3.911","1.396","14.254"
"36","4.8,3.3,5.2,0","0.931","13.466","5.176","5.146","2.315","11.544","3.687","3.662","1.441","15.986","4.197","4.164","1.479","1.467"
"37","4.9,3.1,3.2,5","0.937","13.746","5.284","5.253","2.363","11.031","3.544","3.519","1.386","10.334","2.781","2.759","0.996","14.976"
"38","4.9,3.9,4.2,3.6","0.979","13.746","5.284","5.253","2.363","13.272","4.201","4.171","1.637","13.382","3.573","3.545","1.27","11.331"
"39","4.9,3,0,3.6","0.932","13.746","5.284","5.253","2.363","10.751","3.461","3.437","1.355","1.345","0.535","0.531","0.231","10.301"
"40","5,3.4,5.1,0","0.967","14.027","5.392","5.361","2.411","11.92","3.81","3.784","1.489","15.754","4.147","4.114","1.463","1.452"
"41","5,4.9,5.2,0","1","14.027","5.392","5.361","2.411","16.121","5.043","5.007","1.959","16.5","4.392","4.358","1.555","1.543"
"42","5.1,3.4,3.8,4.7","0.976","14.307","5.5","5.468","2.459","11.967","3.831","3.804","1.497","12.123","3.243","3.217","1.156","14.296"
"43","5.1,5,3.9,4.1","0.999","14.307","5.5","5.468","2.459","16.449","5.145","5.109","1.999","12.901","3.5","3.473","1.252","12.713"
"44","5.1,3.5,4.6,4","0.98","14.307","5.5","5.468","2.459","12.248","3.913","3.885","1.529","14.394","3.813","3.783","1.351","12.531"
"45","5.2,0,3.7,3.6","0.946","14.588","5.608","5.575","2.508","2.492","1.058","1.051","0.44","10.793","2.778","2.756","0.981","11.044"
"46","5.2,5.4,4.1,4.7","1","14.588","5.608","5.575","2.508","17.617","5.494","5.455","2.133","13.594","3.69","3.661","1.32","14.458"
"47","5.2,4,0,5.2","0.995","14.588","5.608","5.575","2.508","13.696","4.344","4.313","1.694","1.682","0.663","0.659","0.282","14.827"
"48","5.3,3.7,4.5,4.9","0.994","14.868","5.715","5.682","2.556","12.904","4.118","4.089","1.608","14.193","3.774","3.744","1.34","15.038"
"49","5.4,5,3.6,0","1","15.149","5.823","5.789","2.604","16.593","5.206","5.169","2.024","12.087","3.302","3.276","1.187","1.178"
"50","5.4,5.1,5.3,3.5","1","15.149","5.823","5.789","2.604","16.873","5.288","5.251","2.056","16.876","4.501","4.465","1.595","11.375"
"51","5.4,3.6,5,5.4","0.995","15.149","5.823","5.789","2.604","12.671","4.056","4.028","1.585","15.569","4.115","4.083","1.456","16.552"
"52","5.5,4.2,3.8,4.9","0.999","15.43","5.931","5.897","2.652","14.4","4.569","4.537","1.782","12.406","3.351","3.325","1.2","14.899"
"53","5.6,3.9,4,3","0.999","15.71","6.039","6.004","2.701","13.608","4.343","4.313","1.696","12.881","3.46","3.432","1.236","9.619"
"54","5.6,4.7,5,5","1","15.71","6.039","6.004","2.701","15.848","5","4.965","1.947","15.929","4.252","4.218","1.51","15.486"
"55","5.6,4.4,5.2,4.4","1","15.71","6.039","6.004","2.701","15.008","4.754","4.72","1.853","16.395","4.356","4.322","1.544","13.841"
"56","5.7,5,4,0","1","15.991","6.147","6.111","2.749","16.737","5.267","5.23","2.05","13.231","3.592","3.564","1.288","1.278"
